(('1309393751291441152_1569', 'ozgurbeker', 'ramonberke'), 0.5714285714285714)
(('1323693431068282881_1597', 'ozgurbeker', 'colakulas'), 1.0)
(('1310138496515018752_1563', 'ozgurbeker', 'oteryaki'), 1.0)
(('1329310007687581702_1618', 'ozgurbeker', 'gkantar'), 1.0)
(('1326825815275761666_1635', 'ozgurbeker', 'orkhan'), 0.0)
(('1322798251360346112_1656', 'ozgurbeker', 'burakbatman'), -0.19999999999999996)
(('1322498551742713858_1664', 'ozgurbeker', 'colakulas'), 0.5714285714285714)
(('1309151751296217092_1690', 'ozgurbeker', 'alisinal'), 1.0)
(('1332592563598057472_1702', 'ozgurbeker', 'suedaseker'), 1.0)
(('1332225143620444162_1720', 'ozgurbeker', 'mehmetcandar'), 1.0)
(('1331248708881686537_1739', 'ozgurbeker', 'dogru'), 0.0)
(('1329310007687581702_1763', 'ozgurbeker', 'umutonder'), 0.5714285714285714)
(('1329310007687581702_1769', 'ozgurbeker', 'alpercakar'), 0.6666666666666667)
(('1327503782620635136_1795', 'ozgurbeker', 'dogru'), 1.0)
(('1326871113608073216_1809', 'ozgurbeker', 'tahabayindir'), 0.5714285714285714)
(('1325372988087296000_1843', 'ozgurbeker', 'gkantar'), 0.5714285714285714)
(('1324448904730071044_1862', 'ozgurbeker', 'goktugmandaci'), nan)
(('1323559604656181252_1885', 'ozgurbeker', 'alikoray'), 0.0)
(('1322897430140997634_1922', 'ozgurbeker', 'goktugmandaci'), 1.0)
(('1322513651245473792_1962', 'ozgurbeker', 'alperenyildiz'), 1.0)
(('1322307340528427009_1998', 'ozgurbeker', 'colakulas'), 1.0)
(('1322200508912836610_2011', 'ozgurbeker', 'goktugmandaci'), 0.0)
(('1322196948036784129_2022', 'ozgurbeker', 'burakbatman'), 1.0)
(('1318821824839491584_2070', 'ozgurbeker', 'gkantar'), 0.5714285714285714)
(('1310138496515018752_2108', 'ozgurbeker', 'umutonder'), 1.0)
(('1326440778462359552_2162', 'ozgurbeker', 'oteryaki'), 0.5714285714285714)
(('1323620364564471808_2178', 'ozgurbeker', 'emirasal'), nan)
(('1323156942680920064_2191', 'ozgurbeker', 'emirasal'), 1.0)
(('1322542306201948160_2206', 'ozgurbeker', 'alpercakar'), 1.0)
(('1322318137300234240_2217', 'ozgurbeker', 'rebahozkoc'), 1.0)
(('1309131651750993926_2267', 'ozgurbeker', 'burakbatman'), 1.0)
(('1329336106039595008_981', 'emirasal', 'suedaseker'), 1.0)
(('1325830510615072769_1008', 'emirasal', 'omerkuyucu'), 1.0)
(('1324604162231992320_1023', 'emirasal', 'zubeyir'), 1.0)
(('1323264833798787072_1064', 'emirasal', 'orkhan'), 0.3999999999999999)
(('1322897430140997634_1088', 'emirasal', 'oteryaki'), 1.0)
(('1322428087280291842_1126', 'emirasal', 'tahabayindir'), 0.6666666666666667)
(('1331127943360294913_1140', 'emirasal', 'oteryaki'), 1.0)
(('1323595788145090561_1186', 'emirasal', 'caltinuzengi'), 1.0)
(('1323300730132987904_1190', 'emirasal', 'mustafacem'), 0.6666666666666667)
(('1323156942680920064_1208', 'emirasal', 'msamil'), 0.3999999999999999)
(('1331127943360294913_1247', 'emirasal', 'burakbatman'), 0.5714285714285714)
(('1323586973710360577_1286', 'emirasal', 'zubeyir'), 0.33333333333333337)
(('1323156942680920064_1297', 'emirasal', 'dogru'), 1.0)
(('1322531961492090880_1316', 'emirasal', 'tolgaaydin'), 0.33333333333333337)
(('1309131651750993926_1338', 'emirasal', 'oteryaki'), 0.5714285714285714)
(('1333319862307864579_1345', 'emirasal', 'colakulas'), 0.5714285714285714)
(('1328285433151717377_1386', 'emirasal', 'suedaseker'), 1.0)
(('1326871113608073216_1401', 'emirasal', 'mehmetcandar'), 0.5714285714285714)
(('1325407713988386817_1425', 'emirasal', 'fethidenker'), 0.5714285714285714)
(('1323636520478298113_1448', 'emirasal', 'goktugmandaci'), 0.5714285714285714)
(('1323559604656181252_1459', 'emirasal', 'tolgaaydin'), 0.5714285714285714)
(('1323266087350403078_1467', 'emirasal', 'ramonberke'), 0.5714285714285714)
(('1322902463708504064_1489', 'emirasal', 'msamil'), 1.0)
(('1322489235346235392_1505', 'emirasal', 'goktugmandaci'), 0.5714285714285714)
(('1309131651750993926_1577', 'emirasal', 'tolgaaydin'), 0.0)
(('1310138496515018752_1560', 'emirasal', 'caltinuzengi'), 1.0)
(('1327503782620635136_1589', 'emirasal', 'orkhan'), 1.0)
(('1325465602505412615_1640', 'emirasal', 'oteryaki'), 0.5714285714285714)
(('1322513651245473792_1663', 'emirasal', 'orkhan'), 1.0)
(('1327534232978251776_1624', 'emirasal', 'gkantar'), 1.0)
