(('Hurriyet2598', 'rebahozkoc', 'mehmetcandar'), 0.7604639435199193)
(('Hurriyet3337', 'rebahozkoc', 'sananbabayev'), 0.6194312568934925)
(('Hurriyet833', 'rebahozkoc', 'alpercakar'), 0.715730813495669)
(('cnnturk265', 'rebahozkoc', 'oteryaki'), 0.8892892237143792)
(('Hurriyet1244', 'rebahozkoc', 'mehmetcandar'), 0.608892112016066)
(('Hurriyet3893', 'rebahozkoc', 'msamil'), 0.9135240023622712)
(('Hurriyet3236', 'rebahozkoc', 'eagaev'), 0.5557163531114326)
(('Hurriyet4681', 'sananbabayev', 'mehmetcandar'), 0.6261616072218781)
(('cnnturk626', 'sananbabayev', 'mehmetcandar'), 0.6174250153029994)
(('Hurriyet2232', 'sananbabayev', 'eagaev'), 0.3726019994596055)
(('Hurriyet1665', 'sananbabayev', 'eagaev'), 0.5940936223688345)
(('Hurriyet1108', 'sananbabayev', 'caltinuzengi'), 0.5987705705321125)
